km,station,train_id,time,hr,min,scenario
35,HILLSDALE,REG (C-EXP) 4_multi_1,448,7,28,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 4_multi_1,454,7,34,Baseline SB
47,ATHERTON,REG (C-EXP) 4_multi_1,458,7,38,Baseline SB
51,PALO ALTO,REG (C-EXP) 4_multi_1,461,7,41,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 4_multi_1,468,7,48,Baseline SB
68,LAWRENCE,REG (C-EXP) 4_multi_1,477,7,57,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 809_single_20,430,7,10,Baseline SB
24,MILLBRAE,HSR 809_single_20,450,7,30,Baseline SB
78,SAN JOSE,HSR 809_single_20,485,8,5,Baseline SB
126,GILROY (HSR) $,HSR 809_single_20,511,8,31,Baseline SB
78,SAN JOSE,REG (C-EXP) 4_multi_1,488,8,8,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 4_multi_1,491,8,11,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 411_multi_1,433,7,13,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 411_multi_1,438,7,18,Baseline SB
11,BAYSHORE,REG (C-EXP) 411_multi_1,449,7,29,Baseline SB
24,MILLBRAE,REG (C-EXP) 411_multi_1,458,7,38,Baseline SB
27,BROADWAY,REG (C-EXP) 411_multi_1,461,7,41,Baseline SB
33,HAYWARD PARK,REG (C-EXP) 411_multi_1,465,7,45,Baseline SB
35,HILLSDALE,REG (C-EXP) 411_multi_1,468,7,48,Baseline SB
40,SAN CARLOS,REG (C-EXP) 411_multi_1,472,7,52,Baseline SB
43,REDWOOD CITY,REG (C-EXP) 411_multi_1,476,7,56,Baseline SB
51,PALO ALTO,REG (C-EXP) 411_multi_1,481,8,1,Baseline SB
57,SAN ANTONIO,REG (C-EXP) 411_multi_1,485,8,5,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 411_multi_1,489,8,9,Baseline SB
65,SUNNYVALE,REG (C-EXP) 411_multi_1,493,8,13,Baseline SB
68,LAWRENCE,REG (C-EXP) 411_multi_1,496,8,16,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,HSR 909_single_21,436,7,16,Baseline SB
