scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,14,1,37.0,37,37,60,29.5,0.0,59.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,15,1,37.0,37,37,60,26.5,0.0,53.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,16,1,37.0,37,37,60,191.5,0.0,329.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,21,1,37.0,37,37,60,29.5,0.0,59.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,22,1,37.0,37,37,60,29.5,0.0,59.0
Baseline NB,ATHERTON,TOWNSEND / 4TH AND KING $,23,1,37.0,37,37,54,26.5,0.0,53.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,6,1,11.0,11,11,60,17.5,0.0,35.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,7,2,11.0,11,11,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,8,2,11.0,11,11,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,9,2,11.0,11,11,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,10,2,11.0,11,11,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,11,1,11.0,11,11,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,12,1,12.0,12,12,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,13,1,12.0,12,12,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,14,1,12.0,12,12,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,15,1,12.0,12,12,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,16,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,17,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,18,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,19,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,20,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,21,1,12.0,12,12,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,22,1,12.0,12,12,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,23,1,12.0,12,12,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,SALESFORCE TRANSIT CENTER (STC) $,24,1,12.0,12,12,6,2.5,0.0,5.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,6,1,7.0,7,7,60,17.5,0.0,35.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,7,2,7.0,7,7,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,8,2,7.0,7,7,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,9,2,7.0,7,7,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,10,2,7.0,7,7,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,11,1,7.0,7,7,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,12,1,8.0,8,8,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,13,1,8.0,8,8,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,14,1,8.0,8,8,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,15,1,8.0,8,8,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,16,2,8.0,8,8,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,17,2,8.0,8,8,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,18,2,8.0,8,8,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,19,2,8.0,8,8,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,20,2,8.0,8,8,60,14.5,0.0,29.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,21,1,8.0,8,8,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,22,1,8.0,8,8,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,23,1,8.0,8,8,60,29.5,0.0,59.0
Baseline NB,BAYSHORE,TOWNSEND / 4TH AND KING $,24,1,8.0,8,8,6,2.5,0.0,5.0
Baseline NB,BELMONT,22nd STREET,6,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,7,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,8,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,9,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,10,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,11,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,BELMONT,22nd STREET,12,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,BELMONT,22nd STREET,13,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,BELMONT,22nd STREET,14,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,BELMONT,22nd STREET,15,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,BELMONT,22nd STREET,16,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,17,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,18,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,19,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,20,2,25.0,25,25,60,14.5,0.0,29.0
Baseline NB,BELMONT,22nd STREET,21,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,BELMONT,22nd STREET,22,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,BELMONT,22nd STREET,23,1,25.0,25,25,60,29.5,0.0,59.0
Baseline NB,BELMONT,22nd STREET,24,1,25.0,25,25,7,3.0,0.0,6.0
Baseline NB,BELMONT,HILLSDALE,6,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,7,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,8,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,9,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,10,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,11,1,3.0,3,3,60,29.5,0.0,59.0
Baseline NB,BELMONT,HILLSDALE,12,1,3.0,3,3,60,29.5,0.0,59.0
Baseline NB,BELMONT,HILLSDALE,13,1,3.0,3,3,60,29.5,0.0,59.0
Baseline NB,BELMONT,HILLSDALE,14,1,3.0,3,3,60,29.5,0.0,59.0
Baseline NB,BELMONT,HILLSDALE,15,1,3.0,3,3,60,29.5,0.0,59.0
Baseline NB,BELMONT,HILLSDALE,16,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,17,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,18,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,19,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,20,2,3.0,3,3,60,14.5,0.0,29.0
Baseline NB,BELMONT,HILLSDALE,21,1,3.0,3,3,60,29.5,0.0,59.0
Baseline NB,BELMONT,HILLSDALE,22,1,3.0,3,3,60,29.5,0.0,59.0
Baseline NB,BELMONT,HILLSDALE,23,1,3.0,3,3,60,29.5,0.0,59.0
Baseline NB,BELMONT,HILLSDALE,24,1,3.0,3,3,7,3.0,0.0,6.0
Baseline NB,BELMONT,MILLBRAE,6,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BELMONT,MILLBRAE,7,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BELMONT,MILLBRAE,8,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BELMONT,MILLBRAE,9,2,12.0,12,12,60,14.5,0.0,29.0
Baseline NB,BELMONT,MILLBRAE,10,2,12.0,12,12,60,14.5,0.0,29.0
