,scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
726,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,16,1,81.0,81,81,60,29.8,0.0,60.0
727,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,17,1,84.0,84,84,60,29.216666666666665,0.0,58.0
728,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,18,1,83.0,83,83,60,28.9,0.0,57.0
729,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,19,1,87.0,87,87,60,29.5,0.0,59.0
730,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,20,1,87.0,87,87,60,29.5,0.0,59.0
731,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,21,1,87.0,87,87,60,29.5,0.0,59.0
732,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,22,1,87.0,87,87,60,41.5,0.0,95.0
733,Existing,Bayshore Caltrain,San Jose Diridon Caltrain,24,1,87.0,87,87,16,7.5,0.0,15.0
734,Existing,Bayshore Caltrain,San Martin Caltrain,15,1,133.0,133,133,60,107.0,0.0,152.0
735,Existing,Bayshore Caltrain,San Martin Caltrain,17,1,121.0,121,121,43,21.0,0.0,42.0
736,Existing,Bayshore Caltrain,San Mateo Caltrain,5,2,22.0,21,23,60,22.833333333333332,0.0,49.0
737,Existing,Bayshore Caltrain,San Mateo Caltrain,6,1,24.0,24,24,60,29.5,0.0,59.0
738,Existing,Bayshore Caltrain,San Mateo Caltrain,7,1,24.0,24,24,60,29.5,0.0,59.0
739,Existing,Bayshore Caltrain,San Mateo Caltrain,8,1,24.0,24,24,60,21.333333333333332,0.0,45.0
740,Existing,Bayshore Caltrain,San Mateo Caltrain,9,1,22.0,22,22,60,28.683333333333334,0.0,58.0
741,Existing,Bayshore Caltrain,San Mateo Caltrain,10,1,23.0,23,23,60,29.5,0.0,59.0
742,Existing,Bayshore Caltrain,San Mateo Caltrain,11,1,23.0,23,23,60,29.5,0.0,59.0
743,Existing,Bayshore Caltrain,San Mateo Caltrain,12,1,23.0,23,23,60,29.5,0.0,59.0
744,Existing,Bayshore Caltrain,San Mateo Caltrain,13,1,23.0,23,23,60,29.5,0.0,59.0
745,Existing,Bayshore Caltrain,San Mateo Caltrain,14,1,23.0,23,23,60,29.5,0.0,59.0
746,Existing,Bayshore Caltrain,San Mateo Caltrain,15,1,26.0,26,26,60,56.166666666666664,0.0,91.0
747,Existing,Bayshore Caltrain,San Mateo Caltrain,16,1,27.0,27,27,60,29.8,0.0,60.0
748,Existing,Bayshore Caltrain,San Mateo Caltrain,17,1,27.0,27,27,60,29.216666666666665,0.0,58.0
749,Existing,Bayshore Caltrain,San Mateo Caltrain,18,1,27.0,27,27,60,28.9,0.0,57.0
750,Existing,Bayshore Caltrain,San Mateo Caltrain,19,1,25.0,25,25,60,29.5,0.0,59.0
751,Existing,Bayshore Caltrain,San Mateo Caltrain,20,1,25.0,25,25,60,29.5,0.0,59.0
752,Existing,Bayshore Caltrain,San Mateo Caltrain,21,1,25.0,25,25,60,29.5,0.0,59.0
753,Existing,Bayshore Caltrain,San Mateo Caltrain,22,1,25.0,25,25,60,41.5,0.0,95.0
754,Existing,Bayshore Caltrain,San Mateo Caltrain,24,1,25.0,25,25,16,7.5,0.0,15.0
