trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
191,20:10:00,20:10:00,70081,16,San Francisco,0,0,49347.82332173650,1,,,,,1,1,,,,
191,20:15:00,20:15:00,70061,17,San Francisco,0,0,53666.16792233820,1,,,,,1,1,,,,
191,20:20:00,20:20:00,70051,18,San Francisco,0,0,57815.98502780840,1,,,,,1,1,,,,
191,20:24:00,20:24:00,70041,19,San Francisco,0,0,60784.96153348440,1,,,,,1,1,,,,
191,20:30:00,20:30:00,70031,20,San Francisco,0,0,67460.14590249910,1,,,,,1,1,,,,
191,20:36:00,20:36:00,70021,21,San Francisco,0,0,72878.60957860790,1,,,,,1,1,,,,
191,20:42:00,20:42:00,70011,22,San Francisco,0,0,75401.75537871010,1,,,,,1,1,,,,
193,19:45:00,19:45:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
193,19:50:00,19:50:00,70241,2,San Francisco,0,0,4121.03122796510,1,,,,,1,1,,,,
193,19:55:00,19:55:00,70231,3,San Francisco,0,0,10016.37844469750,1,,,,,1,1,,,,
193,20:00:00,20:00:00,70221,4,San Francisco,0,0,13203.47293483990,1,,,,,1,1,,,,
193,20:05:00,20:05:00,70211,5,San Francisco,0,0,17517.67460050320,1,,,,,1,1,,,,
193,20:08:00,20:08:00,70201,6,San Francisco,0,0,20625.85835375930,1,,,,,1,1,,,,
193,20:13:00,20:13:00,70191,7,San Francisco,0,0,24569.44084405630,1,,,,,1,1,,,,
193,20:17:00,20:17:00,70171,8,San Francisco,0,0,27117.38716350430,1,,,,,1,1,,,,
193,20:20:00,20:20:00,70161,9,San Francisco,0,0,29128.14694540120,1,,,,,1,1,,,,
193,20:27:00,20:27:00,70141,10,San Francisco,0,0,34729.75187555370,1,,,,,1,1,,,,
193,20:31:00,20:31:00,70131,11,San Francisco,0,0,38221.36744850550,1,,,,,1,1,,,,
193,20:35:00,20:35:00,70121,12,San Francisco,0,0,40206.88783290390,1,,,,,1,1,,,,
193,20:38:00,20:38:00,70111,13,San Francisco,0,0,42900.26017744080,1,,,,,1,1,,,,
193,20:41:00,20:41:00,70101,14,San Francisco,0,0,44889.83274209210,1,,,,,1,1,,,,
193,20:44:00,20:44:00,70091,15,San Francisco,0,0,47023.40646756040,1,,,,,1,1,,,,
193,20:48:00,20:48:00,70081,16,San Francisco,0,0,49347.82332173650,1,,,,,1,1,,,,
193,20:52:00,20:52:00,70061,17,San Francisco,0,0,53666.16792233820,1,,,,,1,1,,,,
193,20:57:00,20:57:00,70051,18,San Francisco,0,0,57815.98502780840,1,,,,,1,1,,,,
193,21:01:00,21:01:00,70041,19,San Francisco,0,0,60784.96153348440,1,,,,,1,1,,,,
193,21:07:00,21:07:00,70031,20,San Francisco,0,0,67460.14590249910,1,,,,,1,1,,,,
193,21:13:00,21:13:00,70021,21,San Francisco,0,0,72878.60957860790,1,,,,,1,1,,,,
193,21:20:00,21:20:00,70011,22,San Francisco,0,0,75401.75537871010,1,,,,,1,1,,,,
135,9:13:00,9:13:00,70261,1,,0,0,0,1,,,,,1,1,,,,
135,9:18:00,9:18:00,70241,2,,0,0,4121.03122796510,1,,,,,1,1,,,,
135,9:24:00,9:24:00,70231,3,,0,0,10016.37844469750,1,,,,,1,1,,,,
135,9:29:00,9:29:00,70221,4,,0,0,13203.47293483990,1,,,,,1,1,,,,
135,9:34:00,9:34:00,70211,5,,0,0,17517.67460050320,1,,,,,1,1,,,,
135,9:38:00,9:38:00,70201,6,,0,0,20625.85835375930,1,,,,,1,1,,,,
135,9:42:00,9:42:00,70191,7,,0,0,24569.44084405630,1,,,,,1,1,,,,
135,9:47:00,9:47:00,70171,8,,0,0,27117.38716350430,1,,,,,1,1,,,,
135,9:50:00,9:50:00,70161,9,,0,0,29128.14694540120,1,,,,,1,1,,,,
135,9:57:00,9:57:00,70141,10,,0,0,34729.75187555370,1,,,,,1,1,,,,
135,10:01:00,10:01:00,70131,11,,0,0,38221.36744850550,1,,,,,1,1,,,,
135,10:05:00,10:05:00,70121,12,,0,0,40206.88783290390,1,,,,,1,1,,,,
135,10:08:00,10:08:00,70111,13,,0,0,42900.26017744080,1,,,,,1,1,,,,
