TOD,Scenario,Station_Name,Ridership_Number,count_journey_time,per_train,lat,lon
ea,Ridership_2040_HSR2,Sunnyvale,191,5,38.2,37.37884425148521,-122.03140710781794
ea,Ridership_2040_HSR2,Tamien,12,6,2.0,37.31274326682811,-121.88475697613043
ea,Ridership_2040_HSR2,Transbay,103,5,20.6,37.789051867125714,-122.39702424974188
ea,Ridership_2040_high,22nd St,415,7,59.285714285714285,37.757576360740146,-122.39241209707016
ea,Ridership_2040_high,4th and King,375,4,93.75,37.77673761681249,-122.39494716886722
ea,Ridership_2040_high,Atherton,338,10,33.8,37.46447556254199,-122.19767440578178
ea,Ridership_2040_high,Bayshore,432,7,61.714285714285715,37.707716194010786,-122.40181692100869
ea,Ridership_2040_high,Belmont,433,7,61.857142857142854,37.52120335901958,-122.27624353516848
ea,Ridership_2040_high,Blossom Hill,17,5,3.4,37.252451211010396,-121.79772696072882
ea,Ridership_2040_high,Burlingame,519,7,74.14285714285714,37.579784239598354,-122.34406869702896
ea,Ridership_2040_high,California Ave,329,10,32.9,37.428924920324114,-122.14130909428673
ea,Ridership_2040_high,Capitol,24,5,4.8,37.28400149341915,-121.84184124217718
ea,Ridership_2040_high,Gilroy,3,5,0.6,37.004510163602646,-121.56675298501878
ea,Ridership_2040_high,Hayward Park,512,7,73.14285714285714,37.5529445877276,-122.30942618742424
ea,Ridership_2040_high,Hillsdale,493,7,70.42857142857143,37.54157217114981,-122.30068921820495
ea,Ridership_2040_high,Lawrence,208,10,20.8,37.37054208586365,-121.99678611573393
ea,Ridership_2040_high,Menlo Park,328,10,32.8,37.45481747441266,-122.18234505381756
ea,Ridership_2040_high,Millbrae,503,7,71.85714285714286,37.60005813774365,-122.38716357110485
ea,Ridership_2040_high,Morgan Hill,6,5,1.2,37.12973319634205,-121.650645664784
ea,Ridership_2040_high,Mountain View,293,10,29.3,37.39445754646227,-122.07593286878692
ea,Ridership_2040_high,Palo Alto,365,10,36.5,37.44319218110702,-122.16441235036379
ea,Ridership_2040_high,Redwood City,399,10,39.9,37.48575969310709,-122.23136195740514
ea,Ridership_2040_high,San Antonio,307,10,30.7,37.407509282199506,-122.10751724793137
ea,Ridership_2040_high,San Bruno,459,7,65.57142857142857,37.630742889729746,-122.41180196248293
ea,Ridership_2040_high,San Carlos,412,8,51.5,37.50812619416385,-122.26029797578131
ea,Ridership_2040_high,San Jose Diridon,146,11,13.272727272727273,37.32973433784033,-121.90337965869688
ea,Ridership_2040_high,San Mateo,531,7,75.85714285714286,37.5681603459612,-122.32391967532075
ea,Ridership_2040_high,Santa Clara,166,10,16.6,37.353207282614996,-121.93549376712492
ea,Ridership_2040_high,South San Francisco,447,7,63.857142857142854,37.65434311314393,-122.40632367452082
ea,Ridership_2040_high,Sunnyvale,259,10,25.9,37.37884425148521,-122.03140710781794
ea,Ridership_2040_high,Tamien,57,11,5.181818181818182,37.31274326682811,-121.88475697613043
ea,Ridership_2040_high,Transbay,195,4,48.75,37.789051867125714,-122.39702424974188
ea,Ridership_2040_moderate,22nd St,278,5,55.6,37.757576360740146,-122.39241209707016
